"pF" "psi" "theta" "k"
"1" 0 1 0.469626122262931 5.38995969880021
"2" 0.1 1.25892541179417 0.469491112205732 5.13183929085348
"3" 0.2 1.58489319246111 0.469307525813303 4.86039862814624
"4" 0.3 1.99526231496888 0.469058035492348 4.57596937144454
"5" 0.4 2.51188643150958 0.468719259562539 4.27917407344747
"6" 0.5 3.16227766016838 0.468259753569303 3.97099563145324
"7" 0.6 3.98107170553497 0.467637424241119 3.65285616723031
"8" 0.7 5.01187233627272 0.466796275239218 3.32670288338021
"9" 0.8 6.30957344480193 0.465662447711187 2.99509522175024
"10" 0.9 7.94328234724282 0.464139646632079 2.66128259748189
"11" 1 10 0.462104294604415 2.32925474316968
"12" 1.1 12.5892541179417 0.459401185280111 2.00373754345876
"13" 1.2 15.8489319246111 0.455841056782601 1.69009797880151
"14" 1.3 19.9526231496888 0.451202322410936 1.39411703377565
"15" 1.4 25.1188643150958 0.445239927014128 1.12159746022320
"16" 1.5 31.6227766016838 0.43770435521947 0.877804656484859
"17" 1.6 39.8107170553497 0.428372308609951 0.666799626724961
"18" 1.7 50.1187233627273 0.417086762871124 0.490801676712139
"19" 1.8 63.0957344480193 0.403798486149509 0.349776074301362
"20" 1.9 79.4328234724282 0.388596275591456 0.241422898167228
"21" 2 100 0.371713203472042 0.161620539582725
"22" 2.1 125.892541179417 0.353503292977478 0.105198697953444
"23" 2.2 158.489319246111 0.334394428154275 0.0667891787566678
"24" 2.3 199.526231496888 0.314832150461149 0.0415084085799537
"25" 2.4 251.188643150958 0.295230157272448 0.0253436553476887
"26" 2.5 316.227766016838 0.275937460057534 0.0152536873925461
"27" 2.6 398.107170553497 0.257224150037512 0.00907717068528843
"28" 2.7 501.187233627272 0.239281985782603 0.00535416559848693
"29" 2.8 630.957344480194 0.222233956208623 0.00313683855299891
"30" 2.9 794.328234724282 0.206147593123153 0.00182835774757767
"31" 3 1000 0.191048508847156 0.00106157624655144
"32" 3.1 1258.92541179417 0.176932302296584 0.000614590390784971
"33" 3.2 1584.89319246111 0.163774162908240 0.000355047148381177
"34" 3.3 1995.26231496888 0.151536180763163 0.000204782774807335
"35" 3.4 2511.88643150958 0.140172680005588 0.000117974554658152
"36" 3.5 3162.27766016838 0.129633981329568 6.79055020855146e-05
"37" 3.6 3981.07170553497 0.119868978535711 3.90609427307666e-05
"38" 3.7 5011.87233627273 0.110826850805593 2.24582098753856e-05
"39" 3.8 6309.57344480194 0.102458161137646 1.29079259933307e-05
"40" 3.9 7943.28234724282 0.0947155275637477 7.41697298375952e-06
"41" 4 10000 0.0875540021766607 4.26103659779202e-06
"42" 4.1 12589.2541179417 0.0809312536662828 2.44761905013376e-06
"43" 4.2 15848.9319246111 0.0748076201532297 1.40581541627536e-06
