"pF" "psi" "theta" "k"
"1" 0 1 0.409850891895119 2.19965333399818
"2" 0.1 1.25892541179417 0.409799021159464 2.10784045997716
"3" 0.2 1.58489319246111 0.409729138692685 2.01169977681385
"4" 0.3 1.99526231496888 0.409635016714178 1.91125949587116
"5" 0.4 2.51188643150958 0.409508295789679 1.80660496628176
"6" 0.5 3.16227766016838 0.409337772785297 1.69789291025544
"7" 0.6 3.98107170553497 0.40910846519519 1.58536862817691
"8" 0.7 5.01187233627272 0.408800393144895 1.4693865603466
"9" 0.8 6.30957344480193 0.40838701455475 1.35043440533617
"10" 0.9 7.94328234724282 0.407833251587189 1.22916056325719
"11" 1 10 0.407093067140515 1.10640383391057
"12" 1.1 12.5892541179417 0.406106604551419 0.983222840304074
"13" 1.2 15.8489319246111 0.404797015474195 0.860920339331462
"14" 1.3 19.9526231496888 0.403067300773867 0.741054307739839
"15" 1.4 25.1188643150958 0.400797806631372 0.625423730053494
"16" 1.5 31.6227766016838 0.3978454572759 0.516013515040445
"17" 1.6 39.8107170553497 0.394046297859279 0.414882508843645
"18" 1.7 50.1187233627273 0.389223253996982 0.323985271371165
"19" 1.8 63.0957344480193 0.383200785173768 0.244936309078397
"20" 1.9 79.4328234724282 0.375826806973572 0.178754846647257
"21" 2 100 0.366999620405179 0.125659066332885
"22" 2.1 125.892541179417 0.356694197446084 0.0849898678555746
"23" 2.2 158.489319246111 0.34497979032375 0.0553148096607814
"24" 2.3 199.526231496888 0.33202165558837 0.0346952365439193
"25" 2.4 251.188643150958 0.318064465586904 0.021029897322752
"26" 2.5 316.227766016838 0.303401642611586 0.0123630100514930
"27" 2.6 398.107170553497 0.288339595559471 0.00707835003954834
"28" 2.7 501.187233627272 0.273166164665819 0.00396376300620844
"29" 2.8 630.957344480194 0.258129118469405 0.00217974243008611
"30" 2.9 794.328234724282 0.243425977955892 0.00118139566751624
"31" 3 1000 0.229203119451896 0.000633028086922151
"32" 3.1 1258.92541179417 0.215560799823193 0.000336201608602308
"33" 3.2 1584.89319246111 0.202560969639968 0.000177345760724404
"34" 3.3 1995.26231496888 0.190235644467163 9.30662133076952e-05
"35" 3.4 2511.88643150958 0.178594561933254 4.8647646780924e-05
"36" 3.5 3162.27766016838 0.167631577534151 2.53542734876654e-05
"37" 3.6 3981.07170553497 0.157329698938241 1.31850085117761e-05
"38" 3.7 5011.87233627273 0.147664885603965 6.84528884587632e-06
"39" 3.8 6309.57344480194 0.138608826831398 3.54950247430182e-06
"40" 3.9 7943.28234724282 0.130130920903415 1.83884073875539e-06
"41" 4 10000 0.122199652530415 9.51971140850207e-07
"42" 4.1 12589.2541179417 0.114783529044699 4.92586666825206e-07
"43" 4.2 15848.9319246111 0.107851699373563 2.54787116535832e-07
