"","decade","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"1",1,0.176,0.024,-0.0199564561115092,-0.0238463291905236,-0.133826041725814,26.0207133716588,-0.0240981079941268,-0.0594047149226141,-0.0930747658887629,28.9615502988789,-0.0207345697935747,-0.0734348619765666,-0.082340210861213,32.0706922026171,0.917520374515056,-1.80123987247967,3.89013147356535,0.253246840278687,-2.34615053042462
"2",2,0.388,0.027,-0.0221090257984311,0.032145987092246,-0.400325143757568,26.2919086051239,-0.0184909640910394,-0.147469467377492,-0.213603246789046,29.1115571398206,-0.0233263910177715,-0.284073514238899,-0.0815293546287169,32.0637073326979,0.867267623610881,-2.8832250877094,7.61102595814765,-1.63593463695034,-3.08268793898577
"3",3,0.08,0.038,-0.0317150781771108,-0.0456124712128435,-0.00338185732842407,26.1735816104658,-0.0381553376573674,0.140147082255824,-0.194693851416491,29.273785696056,-0.0328297355064932,0.0328577717370749,-0.0808778934697405,32.0631383477665,0.926413286842115,-2.47721681500211,3.63730305634779,1.23187382463497,-2.39657312874533
"4",4,0.09,0.035,-0.0291335523763318,0.0385492442790318,-0.102344682504717,26.0599180402104,-0.0351430741581016,0.0528549147250051,-0.111020949373782,29.1599404987752,-0.0302379142822964,0.0201860681722374,-0.0805584687822015,32.0656380764632,0.938383922021599,-2.08690419773918,3.73402538145521,0.691561645897078,-2.34059492285316
"5",5,0.049,0.059,-0.0493455532284119,0.00566243316988765,-0.00928643939716742,25.986871543308,-0.0592411821522284,0.0952699212502198,-0.090392019233019,29.0617966313933,-0.0509724840758711,0.0816449163939156,-0.0804225356225486,32.0667366314147,0.945693972087428,-1.76654749018477,2.64078119775112,1.26504816735758,-2.14222587441044
"6",6,0.56,0.047,-0.0384927626168109,-0.0674333190019863,-0.456922009559195,26.1921467301675,-0.0396443675576459,-0.392508284263147,-0.116821239952363,29.0542663245179,-0.0406051991790838,-0.439470331866577,-0.0803839958274313,32.0646450793838,0.888618702232282,-2.54528978372863,7.15718957593116,-1.62707672254331,-2.97674224820972
"7",7,0.298,0.079,-0.0651218028638745,0.0574954093059838,-0.292896247041354,26.3909062858884,-0.0738502803887947,0.0476122526545181,-0.277878443481808,29.322183401524,-0.0682512922371833,-0.150627453129893,-0.0801777973885496,32.0635689619891,0.883664593312743,-3.28141684404689,7.20559371920242,-0.848381450145042,-3.07155644993987
"8",8,0.308,0.124,-0.103170022987968,-0.0827716217500881,-0.117745717527736,26.2165124975908,-0.119539814683109,0.0101283669333547,-0.20596098629752,29.3989086426988,-0.107128610600136,-0.121565174480417,-0.0799514184950639,32.0695220464818,0.937476760428491,-2.77199639990117,4.81754699391638,0.520619468778584,-2.56790768166532
"9",9,0.012,0.215,-0.17964312216845,0.128173009379052,0.0428207138031059,26.1699521268296,-0.215878884114053,0.345574454435378,-0.152280190187197,29.2968550988947,-0.185747187734107,0.252065423344433,-0.0798985517767835,32.0776639204647,0.948084364444258,-2.45042086317778,2.75402883637341,2.06613912172999,-2.37547125211018
"10",10,0.015,0.182,-0.15306280909538,0.00532521101548146,0.131549622515165,25.8756914244446,-0.182743985622128,0.24282603902067,-0.0813093576344606,29.1472588741281,-0.157237154267941,0.221447842668849,-0.0799764051673046,32.083502890985,0.988335638769943,-1.5808889513066,1.20274995159894,2.16160683837596,-1.78851288453919
"11",11,0.117,0.165,-0.138450278070112,-0.00856438340732785,0.0285726458819123,25.757493603169,-0.165674492459622,0.0725908632376707,-0.0245946038710804,28.9821583391685,-0.142550167330826,0.105298013612011,-0.0801806370448803,32.082880144579,0.986198288698969,-1.23018645630322,1.61799333816986,1.35177851178468,-1.74198648544791
"12",12,0.092,0.209,-0.175798327810689,0.00396633137616252,0.0804171677232498,25.7209922744526,-0.209854357115521,0.112280348381058,0.00412175098851771,28.8493934922617,-0.180563545285713,0.168532782807716,-0.0804885946621654,32.0745865719625,0.977907981425407,-1.02418493283057,0.844510483805295,1.83517704563197,-1.6586317847392
"13",13,0.088,0.185,-0.155608587937618,0.0127615576021585,0.0563355965865954,25.6881802243555,-0.185756249121394,0.0750467433182343,0.0209052253486914,28.7414657348964,-0.159828975492138,0.152117258981057,-0.0809979618203071,32.059459271856,0.967094516866594,-0.881461562748961,0.91586413197232,1.61786290958634,-1.65461376062923
"14",14,0.157,0.298,-0.251174354347989,-0.00723535938895827,0.101386524298807,25.6288250485619,-0.299218174260408,0.108262579258872,0.0327280621475201,28.6518008672056,-0.25744566815167,0.182063725155454,-0.0819767944420819,32.0391642749758,0.964142937366383,-0.725171972000751,0.389654280175975,1.85951758322096,-1.52667982564683
"15",15,0.062,0.415,-0.352095531016008,0.00746404125071092,0.232769207922823,25.4572223785353,-0.416696450731776,0.305249891353128,0.0460261645636935,28.5617863281282,-0.225081085481118,0.246313343036787,-0.0836835828138023,32.0154897180715,0.977525846572511,-0.506092500800189,-0.956600888665648,2.60751561136511,-1.14876796125727
"16",16,0.194,0.311,-0.263845876792378,-0.0859698010298902,0.154277944431337,25.2990504440341,-0.312078752096266,0.053206041934272,0.0620857024977472,28.472110348073,-0.123345843484209,0.0155725990583079,-0.0865781750555121,31.9899527378947,0.985523708753687,-0.364135789704651,-0.312188038683264,1.7012741438028,-1.02677683742314
"17",17,0.002,0.351,-0.297831376048244,0.126260066277609,0.179400080504366,25.3437300227333,-0.350499941812254,0.268151084168958,0.0757360606373306,28.3999541987504,-0.171703382551092,0.260541736070646,-0.0913701716652267,31.9636091606181,0.972456276730759,-0.319371336161741,-0.589183383232754,2.03461610955813,-1.12852547978284
"18",18,0.24,0.301,-0.255024183142277,-0.139222044276208,0.0768072909502273,25.2347569097186,-0.287304924463357,-1.10373534522852,0.0702678941980291,28.3264397412427,-0.0923067964383514,-0.0488250150653992,-0.0989889029882488,31.9379994018514,0.975054787559976,-0.23980536358697,0.596371984294402,0.692503810575512,-1.04891795247452
"19",19,0.357,0.342,-0.28631759909678,0.0724693875058493,-0.14439125597726,25.642293046945,-0.339111308944299,-0.00248874800871194,-0.0195525173216594,28.3877895564094,-0.287500484471164,0.0388836706243718,-0.109036794083861,31.9155479401383,0.907807085695624,-0.587013551195569,3.80229046626884,-1.28339198964309,-1.92597435211747
"20",20,0.525,0.291,-0.241391048399355,0.00126465398438037,-0.287698635830136,25.9604440973709,-0.283975316583381,-0.202346900446803,-0.0433499967618969,28.5279958057943,-0.250220512282203,-0.155555266146363,-0.119806573883856,31.9004531212336,0.855046733405092,-1.39901629170629,5.62258822272228,-1.69523294693865,-2.51897641757978
"21",21,0.379,0.279,-0.232058434269698,-0.00592092520799479,-0.142445904032441,26.0451427642348,-0.272987637600081,-0.0254271561906202,-0.0820593432215793,28.6671812062238,-0.241039373850306,-0.0102598346376407,-0.128249206650257,31.8943158084961,0.845282826625674,-1.60069679313958,4.80282924737816,-0.77504617984261,-2.42523830957329
"22",22,0.055,0.275,-0.231456092221335,0.0166926430825827,0.158467767627325,25.8783075538559,-0.27612415409937,0.294411485904719,-0.0772758944901532,28.7087309439257,-0.237583612218043,0.314205858597874,-0.132734937987614,31.8967416655537,0.889462592353991,-1.17605889431754,1.98804365638448,1.00628659798648,-1.82181408601257
"23",23,0.588,0.218,-0.180988728407582,-0.145218007139896,-0.261598789353141,25.8034461953114,-0.204389026165743,-0.355444838675406,-0.028179277222774,28.6665899270692,-0.188339008958303,-0.266651654388661,-0.133537623804026,31.9037596137174,0.891073884748443,-1.1905581744598,5.50431811219951,-2.14810116255591,-2.1596815268774
