"","time","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"17",17,0,0.01,-0.00825776178087318,0.194515740698771,-0.191456948761604,26.4361243239764,-0.0100408783308862,0.295356867722932,-0.298663258993986,29.1888517504514,-0.00863940408065612,0.0894188365412947,-0.0814100219273295,32.0625966507565,0.856437640941175,-3.24922199664377,6.47501042664755,-0.0948610959867356,-3.12831574477259
"18",18,0.01,0.02,-0.0165667670442472,0.114743683477086,-0.11481978546997,26.4146839817783,-0.0200817566617723,0.303397554833739,-0.305134490153588,29.2322369689619,-0.0172788081613122,0.086896175544142,-0.0813239696712398,32.0623665356465,0.868007553523069,-3.18090660388078,5.80987107641372,0.355839623493042,-2.98436308028216
"19",19,0,0.04,-0.0332136708027074,0.0912370960671204,-0.060000138374311,26.3843752735581,-0.0401635133235447,0.319253448535299,-0.297362604455791,29.2646337593095,-0.0345576163226245,0.114492033862004,-0.0812435245697288,32.0622523102493,0.879249619117866,-3.0900378790073,5.20965997820769,0.733164750634796,-2.85413367485229
"20",20,0,0.04,-0.0332651394559941,0.0553082907563723,-0.0306534676865727,26.3492311980766,-0.0401635133235447,0.306766961020325,-0.281391155613193,29.2859423274116,-0.0345576163226245,0.114889513249336,-0.0811697513003593,32.06223074339,0.889489417085868,-2.98924960755583,4.7695793258825,0.96296581855851,-2.74581962679793
"21",21,0,0.05,-0.0416379708329303,0.0445409415379644,-0.00613474676601786,26.3131907086894,-0.0502043916544309,0.300949375756019,-0.262059914654765,29.2977293840432,-0.0431970204032806,0.123606895992768,-0.0811026820880626,32.0622810121599,0.898891301423212,-2.88107925533203,4.34189830415288,1.18375703417741,-2.64806716435735
"22",22,0,0.05,-0.0416816062908781,0.0312984062783782,0.0100545957595743,26.2769926026115,-0.0502043916544309,0.276970525223947,-0.245007563843865,29.3017388316793,-0.0431970204032806,0.12383044686723,-0.0810417400658259,32.0623863467995,0.907443590220735,-2.77432468178305,4.0162723036127,1.31653304470269,-2.56260865887344
"23",23,0,0.02,-0.0166797816879112,0.00658269631573961,0.0103895567291208,26.2417979200694,-0.0200817566617723,0.233605110906968,-0.227422067224446,29.3006009380018,-0.0172788081613122,0.0978433672831425,-0.0809855167003873,32.0625376805392,0.914795264563219,-2.67929296948378,3.83603745731685,1.33528371637406,-2.49625334331019
"24",24,0,0.02,-0.016686554949798,0.00625567450695312,0.0107133002681004,26.209568454133,-0.0200817566617723,0.220041548366746,-0.210794155714295,29.2954318850645,-0.0172788081613122,0.0967804961707408,-0.0809339945815052,32.0627247385956,0.921190194103705,-2.58824372239568,3.66558385298896,1.35731027630264,-2.43897649758105
"25",25,0,0.04,-0.0333943048101302,0.016230046078,0.017718494780025,26.1800230019089,-0.0401635133235447,0.226629046486899,-0.194067494492502,29.2872327038553,-0.0345576163226245,0.115144729888493,-0.0808862869137276,32.0629396640829,0.926959968937935,-2.49799673835664,3.43074241441713,1.4457400035084,-2.38304164918571
"26",26,0,0.06,-0.0501301558543237,0.0224901326708488,0.028828168035855,26.1520083099592,-0.060245269985317,0.224038166736741,-0.183373362946092,29.276324677385,-0.0518364244839367,0.131616703213512,-0.0808426448753638,32.0631738711955,0.932380322859726,-2.40858357410559,3.21732978370427,1.51373493943057,-2.32714847446006
"27",27,0,0.05,-0.0417919855869497,0.0104645412601824,0.0322857474469308,26.1248461287227,-0.0502043916544309,0.205932093521256,-0.172188211744342,29.2645191646622,-0.0431970204032806,0.122682997440851,-0.0808014028263398,32.0634272479002,0.937184112095961,-2.32286477569832,3.0717549145686,1.52588116519185,-2.27940594121424
"28",28,0.08,0.05,-0.0417840142435395,-0.0569182992171312,0.0182511520387807,26.0994419547499,-0.0502043916544309,0.117725997249647,-0.161416019002853,29.2517052275125,-0.0431970204032806,0.0422422573142418,-0.0807630328903397,32.0636940697003,0.940930768085517,-2.24718904704198,3.09655695714207,1.39662334111807,-2.2502733563136
"29",29,0.04,0.03,-0.0250610952234905,-0.0164827738966969,0.00189134806008501,26.0778156941062,-0.0301226349926585,0.129977252505316,-0.151169832671596,29.23820131808,-0.0259182122419684,0.0659140885019864,-0.0807273872420324,32.0639696432441,0.943702135160424,-2.18403600844968,3.14876729444513,1.26359867767792,-2.23223214584965
"30",30,0.68,0.01,-0.0083033122911571,-0.520586077662674,-0.157816189636695,26.0601313297082,-0.0100408783308862,-0.534398294195294,-0.139439891870159,29.2243728302759,-0.00863940408065612,-0.591084265302217,-0.080694246513821,32.0642492034477,0.940655210970714,-2.18855737737429,4.54808728112935,-0.0197239521338962,-2.34772405630799
"31",31,0,0.02,-0.0165959737064553,0.182677786159951,-0.176684150225653,26.0663429956586,-0.0200817566617723,0.147986982770887,-0.130499942662881,29.2117253848823,-0.0172788081613122,0.0959561110449213,-0.0806636089876284,32.0645285096448,0.937993175824036,-2.1999320776949,4.63729516293347,-0.0414494406482925,-2.39604828860979
"32",32,0.06,0.04,-0.0332391402403092,0.0986873909953101,-0.138048303194954,26.0747190420974,-0.0401635133235447,0.0948124753216034,-0.124496272487409,29.200026161217,-0.0345576163226245,0.0549625615038222,-0.0806352217561125,32.0648042878357,0.937129632279739,-2.19119321194138,4.20959473569647,0.371504419631812,-2.3910910722689
"33",33,0.03,0.07,-0.0582873790886294,0.105410126231412,-0.0840953107622589,26.0766834299107,-0.0702861483162032,0.148727138011559,-0.119058941238276,29.1885854724883,-0.0604758285645928,0.108891737410105,-0.0806088308559342,32.0650747444218,0.937998273346483,-2.15818986733909,3.6420769100522,0.86673436570626,-2.35310365703625
"34",34,0.08,0.03,-0.0249962007075359,0.00976039016322632,-0.068644911827863,26.0707097027125,-0.0301226349926585,0.0600743947405654,-0.114494093709974,29.176684199204,-0.0259182122419684,0.0261592993554306,-0.0805845001255994,32.0653358680196,0.938960766959967,-2.12001626781678,3.44912886157545,0.996573239190606,-2.32851391643274
"35",35,0.18,0.06,-0.049991905115341,-0.0548143480392844,-0.0703821602283725,26.0628720563349,-0.060245269985317,-0.0089917007403049,-0.110682251060489,29.1646458457897,-0.0518364244839367,-0.0476558403512594,-0.0805620288316581,32.0655847701687,0.939593857601355,-2.0844304252103,3.42704508960796,0.97040381087619,-2.31575693532805
"36",36,0.21,0.04,-0.0332959268459971,-0.0693299721416629,-0.0970100551561326,26.0556773410812,-0.0401635133235447,-0.0602199962435247,-0.107072300187608,29.1527890985345,-0.0345576163226245,-0.0949270931910892,-0.0805411801046053,32.0658189559755,0.939152422229367,-2.06264969713112,3.64349185493248,0.744596219366101,-2.32753877748112
"37",37,0,0.03,-0.0249863051256018,0.106825834358901,-0.084271817029891,26.0526429357229,-0.0301226349926585,0.130926765437365,-0.1041335047088,29.1415917803878,-0.0259182122419684,0.106143543626247,-0.0805220306990222,32.0660357276508,0.939234928722351,-2.03734781559134,3.4926820478072,0.858035006235881,-2.31563606566035
"38",38,0.23,0.02,-0.0166458970372799,-0.105522296922196,-0.102962955031959,26.0479371780373,-0.0200817566617723,-0.10781725900553,-0.101690603229596,29.1309196318713,-0.0172788081613122,-0.132489136114748,-0.0805045608013186,32.0662323608774,0.938547608556512,-2.02037071593349,3.64546704060611,0.698909688113629,-2.32583638192891
"39",39,0.11,0.02,-0.0166407069476857,0.0140965201215279,-0.112125512572138,26.0460658094996,-0.0200817566617723,0.00670897899307349,-0.099881642993742,29.1208413730697,-0.0172788081613122,-0.0126766822834542,-0.0804886541635003,32.0664071596014,0.937634872160018,-2.00785743508325,3.71409720624573,0.626827669732859,-2.33462223513738
"40",40,0,0.02,-0.0166560889484825,0.0977010118631339,-0.0892216490179522,26.0455299110487,-0.0200817566617723,0.116341367964357,-0.0981999414590475,29.1115960403077,-0.0172788081613122,0.0974961807223975,-0.0804740714966361,32.0665583804359,0.937593682536157,-1.98705446365017,3.47937490509499,0.823481480765736,-2.31780189864814
"41",41,0,0.01,-0.00833605506124462,0.0585044683890798,-0.0657830929603981,26.041688042521,-0.0100408783308862,0.103115340522355,-0.097047267295478,29.1026494573014,-0.00863940408065612,0.0877560543443841,-0.0804610188251236,32.0666836886037,0.938184789910968,-1.95869745048479,3.24489565766506,1.00308880841337,-2.29172074140028
"42",42,0.04,0.03,-0.0250310235782732,0.0234945200359776,-0.0439951490255385,26.0347737788597,-0.0301226349926585,0.0826437372972053,-0.0960744725441314,29.0938286970417,-0.0259182122419684,0.0657235816115046,-0.0804492738196935,32.0667815059646,0.939264453841299,-1.9240410441471,3.02792439165195,1.15330252542905,-2.25998582166711
"43",43,0.02,0.07,-0.0584728460662096,0.04710668361366,-0.0172064126658461,26.0252511937827,-0.0702861483162032,0.140342205537598,-0.0951519209984902,29.0850078753836,-0.0604758285645928,0.12007613517546,-0.0804387843508684,32.0668501578534,0.940969566833991,-1.88193815046874,2.76397053741826,1.33351553532195,-2.21876887927452
"44",44,0,0.09,-0.075263365251806,0.0580850360916763,0.0113554742577992,26.0126883659087,-0.0903679049779755,0.179389361064387,-0.0940746829815506,29.0760868835883,-0.0777546367259051,0.156874660642323,-0.0804295136276095,32.0668879272514,0.943307665333011,-1.83250913217572,2.48164828167168,1.51723828175279,-2.17001339241442
"45",45,0,0.09,-0.0753224160425061,0.0423201650718009,0.033265335373385,25.9971438990499,-0.0903679049779755,0.178794037109134,-0.0926622029218155,29.0669499884488,-0.0777546367259051,0.157366435196097,-0.0804214398528593,32.066893001192,0.945868515628741,-1.77875446606551,2.25919598754187,1.63685658357338,-2.12118743075521
"46",46,0,0.11,-0.0921351491754505,0.0400236568085817,0.0551519516027842,25.9797680041272,-0.110449661639748,0.197263045027028,-0.0907957307395918,29.0575631591434,-0.0950334448872173,0.174546559215432,-0.0804145449046242,32.0668634844886,0.948655824024656,-1.72096222566908,2.03244761126428,1.75401100277116,-2.06961961789225
"47",47,0,0.07,-0.0586412845179329,0.00467336923388099,0.0547516109994241,25.9607282715713,-0.0702861483162032,0.139787195544843,-0.0892576390729376,29.0478529023435,-0.0604758285645928,0.140279487230459,-0.0804088236093464,32.0667973411812,0.950985019767453,-1.66744460151793,2.02074898377347,1.67705279955792,-2.03425683874874
"48",48,0.35,0.02,-0.0167105123143656,-0.305191295758011,-0.0336230785450493,25.9431101244105,-0.0200817566617723,-0.247520461197166,-0.0860164813828614,29.0381824377733,-0.0172788081613122,-0.253027563035567,-0.0804039826680777,32.0666937691124,0.950360402580407,-1.64868086281779,2.82784871712549,0.897478099134363,-2.07867367156062
"49",49,0,0.08,-0.0668390798536877,0.101987743350969,-0.0382471901236209,25.9385461892484,-0.0803270266470894,0.159920821802689,-0.0828814467123641,29.0291774840532,-0.069115232645249,0.149367864426014,-0.0804003336666369,32.0665500422369,0.949994566714295,-1.63233661111063,2.8403476952085,0.874539555692763,-2.08436418319919
"50",50,0.08,0.02,-0.0167038004226425,-0.0143800151387384,-0.0485338428846137,25.9350175636006,-0.0200817566617723,0.0189639297941238,-0.0799583476809694,29.020667428856,-0.0172788081613122,0.0174859491330505,-0.0803976409006467,32.066365396263,0.949348916239456,-1.62011035739044,2.90878411419064,0.803398481929095,-2.0936681671921
"51",51,0.56,0.02,-0.0166315283124437,-0.3805098151446,-0.159352574689403,25.9331763249413,-0.0200817566617723,-0.466721204330559,-0.0767911886218184,29.0124490315428,-0.0172788081613122,-0.463433374495242,-0.0803957448970854,32.0661387694022,0.945095601627546,-1.65146158569006,3.92991784724214,-0.0836149578348214,-2.194006806502
"52",52,0.02,0.08,-0.0665524340380839,0.186842562463969,-0.14777295378125,25.9477854358041,-0.0803270266470894,0.129262952025306,-0.0740351060929115,29.0056893982673,-0.069115232645249,0.128413424819018,-0.0803946899253,32.065869010528,0.942249357032631,-1.67372826149797,3.7923141568461,0.104550098177216,-2.22271760421857
"53",53,1.55,0.01,-0.00819512352534232,-1.0304981394929,-0.527902914111622,25.9591294617615,-0.00698046643883804,-1.46409223845467,-0.071975494534355,28.9995876273568,-0.00863940408065612,-1.46101765022108,-0.0804239628049094,32.0655569525231,0.924386083619902,-1.87521642679319,7.38380245169919,-2.88628722804896,-2.61109307082996
"54",54,1.88,0.03,-0.023961130690241,-0.760021727300949,-1.07882091675532,26.0363271824897,-0.00613942570050104,-1.69685482289052,-0.073538566652733,29.0015203918684,-0.0259182122419684,-1.77392818890124,-0.0804111199520513,32.0652059443081,0.882357031414616,-2.47183830220742,12.6332646475403,-6.77367275456204,-3.35682179959994
"55",55,0.11,0.1,-0.0807144753737652,0.772938854530406,-0.818755459618865,26.2255435472135,-0.0585024604002668,0.0226522000844118,-0.0833057755912644,29.0287700295883,-0.0863940408065612,0.0561913954682101,-0.0804009167115587,32.0648322277172,0.866112430687384,-2.8138744642761,10.2599563177665,-3.98266268687867,-3.44522633105828
"56",56,0.16,0.04,-0.0326176948691254,0.403365081739192,-0.543329521110065,26.3268574763682,-0.039781435565787,-0.0269462343250482,-0.103779985084883,29.0539114746509,-0.0345576163226245,-0.0470044895435824,-0.0803910180727489,32.0644508549812,0.861893776102336,-2.95127545713717,7.847816833778,-1.53773123420269,-3.35102300725447
"57",57,0.13,0.03,-0.0246338022197584,0.246897761409695,-0.367138097798633,26.3683126337471,-0.0301226349926585,0.0230917112960137,-0.131734854377268,29.0757066871116,-0.0259182122419684,-0.0244501248407985,-0.0803797447407169,32.0640770449809,0.863151828222617,-2.98398211422755,6.45326945080755,-0.239370712205272,-3.22714054915668
"58",58,0.33,0.04,-0.0329134812279303,0.00530057165893685,-0.305327130181579,26.3770645255813,-0.0401635133235447,-0.117571985627391,-0.158429436204974,29.0970525637743,-0.0345576163226245,-0.215343772909126,-0.0803655025269978,32.0637298127728,0.865278796718645,-2.99014157706873,6.13274618678115,0.00657086687574367,-3.14736767862407
"59",59,0.4,0.05,-0.0411496287566155,-0.0481115431369559,-0.298261825519511,26.3751394923255,-0.0501587514816231,-0.152731570560953,-0.186194063455192,29.1203322450875,-0.0431970204032806,-0.275905782142626,-0.0803486882049785,32.0634215655085,0.866850463263115,-3.00318789595224,6.34299393643947,-0.229681477716016,-3.10746558210677
