Date	Precipitation_mm_d	Evaporation_mm_d
20171021	1.4	0.5
20171022	6.6	0.6
20171023	0.1	0.5
20171024	1.5	0.3
20171025	0	0.4
20171026	0.4	0.6
20171027	0.2	0.9
20171028	7.4	0.3
20171029	3.3	0.9
20171030	0.5	0.7
20171031	1.9	0.5
20171101	0	0.5
20171102	2.4	0.5
20171103	0	0.3
20171104	2.3	0.8
20171105	2.6	0.6
20171106	0	0.7
20171107	0	0.5
20171108	0	0.2
20171109	0.8	0.3
20171110	6.3	0.2
20171111	3	0.3
20171112	2.7	0.2
20171113	0.3	0.7
20171114	0.9	0.3
20171115	0	0.2
20171116	1.7	0.2
20171117	0	0.6
20171118	3.1	0.3
20171119	3.7	0.4
20171120	13	0.1
20171121	5	0.1
20171122	0.6	0.3
20171123	2.5	0.2
20171124	7.6	0.2
20171125	0.7	0.4
20171126	5.5	0.2
20171127	9.3	0.1
20171128	0.5	0.3
20171129	0	0.1
20171130	0.5	0.2
20171201	0	0.3
20171202	0.2	0.1
20171203	2.8	0.1
20171204	1.4	0.2
20171205	0	0.1
20171206	0	0.1
20171207	6.6	0.1
20171208	5.6	0.1
20171209	5.2	0.2
20171210	13.2	0.1
20171211	6.4	0
20171212	2.3	0.2
20171213	21.6	0
20171214	5.8	0.1
20171215	0.5	0.1
20171216	0.6	0.4
20171217	3.8	0.4
20171218	4.2	0.1
20171219	2.3	0.1
20171220	0.3	0.1
20171221	0.9	0.1
20171222	0	0.2
20171223	0	0.1
20171224	0.5	0.1
20171225	0.4	0.1
20171226	2.8	0.2
20171227	1.1	0.1
20171228	0.1	0.3
20171229	2.8	0.2
20171230	5.9	0.1
20171231	12.8	0.1
20180101	7.2	0.2
20180102	2.7	0.2
20180103	20.4	0.1
20180104	4.2	0.2
20180105	1.5	0.2
20180106	0	0.2
20180107	0	0.3
20180108	0	0.4
20180109	0	0.2
20180110	1.3	0.2
20180111	0	0.3
20180112	0	0.1
20180113	0	0.2
20180114	0	0.2
20180115	8.4	0.1
20180116	11.9	0.3
20180117	11.9	0.3
20180118	4.3	0.2
20180119	0.3	0.3
20180120	2.9	0.2
20180121	0.1	0.4
20180122	1.4	0.1
20180123	0.8	0.3
20180124	2.1	0.2
20180125	0.6	0.3
20180126	0	0.2
20180127	1.2	0.2
20180128	0.4	0.4
20180129	5.2	0.2
20180130	0	0.6
20180131	7	0.1
20180201	1.9	0.2
20180202	12.3	0.3
20180203	2.7	0.3
20180204	0.9	0.3
20180205	0	0.3
20180206	0	0.6
20180207	0	0.8
20180208	0	0.7
20180209	0	0.7
20180210	0	0.2
20180211	9.1	0.6
20180212	5	0.8
20180213	0	0.9
20180214	0	1
20180215	1.9	0.1
20180216	0	0.9
20180217	0	0.7
20180218	0	1
20180219	0	0.5
20180220	0	0.8
20180221	0	1
20180222	0	0.8
20180223	0	1.1
20180224	0	1
20180225	0	1
20180226	0	0.7
20180227	0.5	0.8
20180228	0	0.7
20180301	0	0.8
20180302	0	0.9
20180303	0	0.7
20180304	1.2	1
20180305	0	1.3
20180306	0	1.2
20180307	4.6	1.1
20180308	3.3	0.8
20180309	1.4	1.1
20180310	3.2	1.1
20180311	0	0.6
20180312	1.7	1.2
20180313	10.9	0.3
20180314	0	1.1
20180315	0	1.6
20180316	7	0.3
20180317	0	0.8
20180318	0	1.3
20180319	0	1.7
20180320	0.1	1.9
20180321	0	0.9
20180322	2.9	0.6
20180323	0	0.5
20180324	0	1.5
20180325	0	1.1
20180326	0	1.1
20180327	1	1.1
20180328	13.4	0.6
20180329	2.6	1.1
20180330	8.6	1.8
20180331	2.6	1.7
20180401	0.4	1.1
20180402	0.8	1.2
20180403	0	2.2
20180404	5.8	1.1
20180405	0.6	0.9
20180406	0	2.8
20180407	0	2.9
20180408	0	2.6
20180409	0	1.9
20180410	0	2.9
20180411	0	2.5
20180412	0	1.8
20180413	0	1.5
20180414	0	1.2
20180415	3.5	2.3
20180416	0	2.7
20180417	0	3.2
20180418	0	3.8
20180419	0	4.2
20180420	0	3.8
20180421	0	3.7
20180422	10.3	3.5
20180423	0	2.5
20180424	0.3	0.8
20180425	2.5	1.5
20180426	7.4	2.5
20180427	0	2.4
20180428	0	1.8
20180429	13.2	1.7
20180430	8.9	1.4
20180501	3.8	1.6
20180502	0	3.8
20180503	0	3.3
20180504	0	3.9
20180505	0	4.3
20180506	0	4.7
20180507	0	4.8
20180508	0	4.9
20180509	0	4.7
20180510	1.4	1.7
20180511	0	3.7
20180512	0	3.8
20180513	12.3	2.2
20180514	0	4.6
20180515	0	4.5
20180516	1	3.1
20180517	0	3.7
20180518	0	2.9
20180519	0	3.2
20180520	0	4.6
20180521	0	5.1
20180522	0	3.9
20180523	0	3.7
20180524	0.1	2.8
20180525	3.7	2.7
20180526	0	5
20180527	0.4	3.5
20180528	0	4.8
20180529	1.9	4.1
20180530	0	4.7
20180531	15.5	2.8
20180601	0.6	2.4
20180602	0.4	1.7
20180603	0	2.5
20180604	0	2.8
20180605	0	3.2
20180606	0	5.3
20180607	0	5.1
20180608	1.6	1.2
20180609	0	4.1
20180610	0	4.2
20180611	0	4.7
20180612	0	1.8
20180613	0	2.2
20180614	0.8	3
20180615	0	3.3
20180616	0	3.5
20180617	0	2.7
20180618	0.7	2
20180619	0.1	1.6
20180620	0	4.5
20180621	7.7	3
20180622	3.3	2.9
20180623	0	3.3
20180624	0.7	1.3
20180625	0	3.7
20180626	0	4.2
20180627	0	4.8
20180628	0	4.9
20180629	0	5.4
20180630	0	5.7
20180701	0	5.6
20180702	0	5.5
20180703	0	5.4
20180704	0	4.9
20180705	0	5
20180706	0	4.3
20180707	0	4.9
20180708	0	4.8
20180709	0	2.3
20180710	2.8	2.3
20180711	4.8	2.3
20180712	0	4.1
20180713	0	4.5
20180714	0	5
20180715	0	5.3
20180716	0	5.4
20180717	0	4.4
20180718	0	3.6
20180719	0	3.2
20180720	0	4.8
20180721	0.1	4.5
20180722	0	3.5
20180723	0	5.1
20180724	0	5.2
20180725	26.5	4.9
20180726	0	5.1
20180727	0	5.5
20180728	13.1	2.8
20180729	0	3.3
20180730	0	4.4
20180731	0	3.6
20180801	0	3.6
20180802	0	4.9
20180803	0	4.9
20180804	0	4.3
20180805	0	4.5
20180806	0	4.8
20180807	0	4.9
20180808	0.2	1.7
20180809	10.8	2.5
20180810	4.2	3.1
20180811	5.3	3.4
20180812	0	3.3
20180813	2.1	1.9
20180814	0.7	2.6
20180815	0	2
20180816	0	3.7
20180817	5.2	2.7
20180818	0	3.1
20180819	0	3.7
20180820	0.1	1.5
20180821	0	2.1
20180822	0	3.4
20180823	4.7	2.2
20180824	2.8	2.5
20180825	13	1.8
20180826	1.7	3
20180827	1.2	1.4
20180828	0	1.7
20180829	11	2.4
20180830	0.6	1.7
20180831	0	1.8
20180901	0	2.9
20180902	0	3.4
20180903	11.4	2.2
20180904	0	2.9
20180905	0	3
20180906	3.8	1.2
20180907	2.6	1.7
20180908	0	2.2
20180909	0	2.5
20180910	0	1.3
20180911	0	1.9
20180912	0.9	0.8
20180913	0	2.6
20180914	0	2.6
20180915	0.1	1.7
20180916	0	2.3
20180917	0	2.6
20180918	0	3
20180919	0	2.7
20180920	0	2.3
20180921	8.7	1.5
20180922	8.4	0.9
20180923	9.7	0.3
20180924	1.1	1.9
20180925	0	1.9
20180926	0	2
20180927	0	2.2
20180928	0	1.6
20180929	0	1.7
20180930	0	1.7
20181001	0.9	1.5
20181002	2.4	0.5
20181003	0	1.9
20181004	0.3	0.8
20181005	0	2
20181006	2.3	2
20181007	0	1.4
20181008	0	1.5
20181009	0	1.4
20181010	0	2
20181011	0	1.7
20181012	0	1.9
20181013	0	1.9
20181014	0	1.9
20181015	0	1.7
20181016	0	1.8
20181017	0	1.4
20181018	0.6	0.8
20181019	0	1.3
20181020	0	1.1
20181021	0	0.9
20181022	0.4	1
20181023	1.2	0.2
20181024	3.2	0.6
20181025	2	0.4
20181026	1.9	0.3
20181027	0.2	0.9
20181028	0	0.7
20181029	0	0.2
20181030	11.9	0.2
20181031	0	0.9
20181101	3.9	0.4
20181102	0	0.5
20181103	0	0.8
20181104	0	0.6
20181105	0	0.2
20181106	0	0.8
20181107	0.1	1
20181108	0	0.9
20181109	0.4	0.7
20181110	4	0.2
20181111	5.4	0.4
20181112	3.8	0.1
20181113	0	0.5
20181114	0	0.7
20181115	0	0.7
20181116	0	0.6
20181117	0	0.6
20181118	0	0.5
20181119	0.8	0.3
20181120	1	0.1
20181121	0	0.3
20181122	0	0.1
20181123	0	0.5
20181124	1.4	0.1
20181125	0	0.1
20181126	0	0.2
20181127	0	0.1
20181128	0.9	0.2
20181129	3.3	0.1
20181130	0	0.3
20181201	1.3	0.4
20181202	5	0.1
20181203	7.3	0.3
20181204	0	0.5
20181205	0.7	0.2
20181206	1.4	0.1
20181207	13.9	0.1
20181208	9.8	0.2
20181209	5.9	0.3
20181210	2.4	0.3
20181211	0	0.4
20181212	0	0.2
20181213	0	0.2
20181214	0	0.3
20181215	0	0.1
20181216	0.8	0.1
20181217	3.6	0.1
20181218	0	0.3
20181219	0.2	0.1
20181220	1.2	0.1
20181221	14	0.1
20181222	14.9	0.1
20181223	10.1	0.1
20181224	0.1	0.4
20181225	0	0.3
20181226	0.2	0.1
20181227	0	0.2
20181228	0	0.1
20181229	2.1	0.1
20181230	0.9	0.2
20181231	0.2	0.2
20190101	1.5	0.2
20190102	0	0.3
20190103	0.1	0.3
20190104	0.6	0.1
20190105	6.3	0.1
20190106	2.4	0.2
20190107	6	0.1
20190108	7.8	0.2
20190109	1.6	0.4
20190110	2	0.1
20190111	2.2	0.2
20190112	6.4	0.1
20190113	11.7	0.1
20190114	0.3	0.4
20190115	0.2	0.2
20190116	1.4	0.1
20190117	9.3	0.1
20190118	0	0.5
20190119	0	0.4
20190120	0	0.5
20190121	0	0.6
20190122	1.2	0.3
20190123	0.2	0.2
20190124	0	0.1
20190125	3.7	0.2
20190126	6.8	0.1
20190127	5.2	0.1
20190128	4.4	0.2
20190129	0	0.5
20190130	1.8	0.2
20190131	0.1	0.5
20190201	0.5	0.2
20190202	5.3	0.1
20190203	1.1	0.6
20190204	1	0.3
20190205	0	0.1
20190206	10.4	0.2
20190207	4.3	0.6
20190208	3.3	0.2
20190209	0.3	0.4
20190210	16.5	0.2
20190211	1.4	0.7
20190212	0.1	0.6
20190213	0	0.2
20190214	0	1
20190215	0	1.2
20190216	0	1.2
20190217	0	1.1
20190218	0	1.2
20190219	0.3	0.7
20190220	0	0.8
20190221	1.1	0.6
20190222	1	0.6
20190223	0	1.3
20190224	0	1.4
20190225	0	1.4
20190226	0	1.5
20190227	0	1.6
20190228	1.1	1.1
20190301	1.4	0.2
20190302	0.4	0.7
20190303	3.1	0.3
20190304	4.3	0.7
20190305	2.1	0.9
20190306	2.7	0.7
20190307	4.9	1
20190308	6.3	1.2
20190309	12	0.7
20190310	20.2	0.3
20190311	6.3	0.7
20190312	2.6	0.7
20190313	8.7	0.4
20190314	10.3	0.4
20190315	5.6	0.5
20190316	4	0.4
20190317	3.9	1.1
20190318	1.3	1.3
20190319	0	1.7
20190320	0	0.7
20190321	0	1.9
20190322	0	2.3
20190323	0.1	0.7
20190324	0	1.8
20190325	5.1	1.4
20190326	0.2	0.8
20190327	0	1.6
20190328	0	1
20190329	0	2.5
20190330	0	2.3
20190331	0	2.1
20190401	0	2.7
20190402	0.3	1.9
20190403	0.6	0.8
20190404	1.2	0.5
20190405	1.6	0.7
20190406	0	1.4
20190407	0	3.1
20190408	0	3.2
20190409	0	2.9
20190410	0	2.8
20190411	0	1.9
20190412	0	1.1
20190413	0.5	1.8
20190414	0.9	2.3
20190415	0	3.2
20190416	0	3.3
20190417	0	2.5
20190418	0	3.7
20190419	0	4
20190420	0	3.9
20190421	0	4
20190422	0	4.1
20190423	0	3.8
20190424	9.6	3.3
20190425	0.2	3
20190426	0.7	1.6
20190427	2.7	1.3
20190428	0	1.8
20190429	0	2.3
20190430	0	2.7
20190501	0	2.3
20190502	0.4	1.5
20190503	1.1	2.2
20190504	3	2.4
20190505	1.7	2.1
20190506	2.1	1.8
20190507	0	2.2
20190508	1.8	1.4
20190509	4.4	2.8
20190510	0.7	1.6
20190511	0	3.1
20190512	0	2.8
20190513	0	3.9
20190514	0	3.8
20190515	0	4.3
20190516	0	2.4
20190517	0.2	1.2
20190518	0	3.1
20190519	0.6	3.6
20190520	0	2.2
20190521	0.1	0.9
20190522	0	3.1
20190523	0	4
20190524	0	4.1
20190525	0	3.1
20190526	3.8	2.7
20190527	0.2	3.2
20190528	7.8	1.1
20190529	0	4.5
20190530	0	1.5
20190531	0	3.7
20190601	0	4.9
20190602	0	5.4
20190603	0.5	2.4
20190604	0	4
20190605	0.2	4.1
20190606	4	2.3
20190607	3.1	4.1
20190608	5.4	1.9
20190609	0	4.3
20190610	7.8	3.6
20190611	0.4	3.8
20190612	15.1	1.8
20190613	0.1	3.7
20190614	0.1	4.4
20190615	7.1	3.1
20190616	0	4.1
20190617	0	4.7
20190618	0	4.5
20190619	3.8	3.4
20190620	7.4	2.3
20190621	0	4
20190622	0	5.1
20190623	0	5.5
20190624	0	5.4
20190625	0	5.3
20190626	0	4.5
20190627	0	5.2
20190628	0	4.7
20190629	0	5.8
20190630	0	5.2
20190701	0	4.1
20190702	0	3.9
20190703	0	3.6
20190704	0	4.7
20190705	0	4.7
20190706	1.8	2.5
20190707	0	2.4
20190708	0.4	2
20190709	0	3.6
20190710	0.1	2.8
20190711	3.9	1.9
20190712	2.1	2.4
20190713	0.2	2.8
20190714	0.1	1.9
20190715	0	2.1
20190716	0	0.9
20190717	0	3.5
20190718	0	3.9
20190719	0	3.8
20190720	4	2.5
20190721	0	4
20190722	0	3.9
20190723	0	5.4
20190724	0	5.5
20190725	0	5.2
20190726	0	5.3
20190727	0	4.8
20190728	0	3.4
20190729	0	3.3
20190730	0	4.2
20190731	0.5	2.9
20190801	0.2	3.1
20190802	0	2
20190803	0	1.4
20190804	0	3.4
20190805	0	2.8
20190806	0.1	3.3
20190807	0.7	3
20190808	0	3.1
20190809	5.4	1.2
20190810	0.8	2.9
20190811	0	2.8
20190812	7.8	3.2
20190813	4.6	2.5
20190814	3.7	3.5
20190815	2.4	1.9
20190816	0.3	3.2
20190817	11	0.8
20190818	8.6	1.4
20190819	0.5	2.6
20190820	3.1	2.7
20190821	0	3.3
20190822	0	3.8
20190823	0	3.8
20190824	0	4.1
20190825	0	4.1
20190826	0	3.9
20190827	0	3.8
20190828	2	3.5
20190829	17.1	2.8
20190830	0	3.5
20190831	0.6	3.7
20190901	0	1.8
20190902	0	2.8
20190903	0	1
20190904	1.6	1.5
20190905	2.9	2
20190906	0.5	2.2
20190907	2.1	1.9
20190908	14	1.4
20190909	0	2.5
20190910	0	2.4
20190911	5.2	1
20190912	0.1	2.2
20190913	2.2	2.2
20190914	0	2.6
20190915	0	2.3
20190916	10.9	0.7
20190917	0.5	1.6
20190918	0	1.8
20190919	0	2.1
20190920	0	2.4
20190921	0	2.7
20190922	0.1	2.5
20190923	2.2	1.1
20190924	0.8	1
20190925	6.1	1.1
20190926	11.7	0.5
20190927	0.2	1.3
20190928	2.6	1.4
20190929	28.2	0.4
20190930	2.4	1.8
20191001	43.8	0.8
20191002	1.1	1.6
20191003	1.2	1.4
20191004	16.1	0.3
20191005	0	1.3
20191006	1.3	0.7
20191007	0	1.3
20191008	5.8	0.6
20191009	15.7	0.7
20191010	2	1.1
20191011	1.9	0.5
20191012	1.9	0.2
20191013	0.8	1.2
20191014	0.4	1.3
20191015	6.1	0.9
20191016	8.4	0.8
20191017	4.5	0.7
20191018	2.5	0.8
20191019	2.3	0.5
20191020	3.8	0.3
20191021	0.3	0.9
20191022	0	0.6
20191023	0	0.9
20191024	0	0.9
20191025	0.3	1
20191026	0	1.3
20191027	3	0.7
20191028	0.6	0.8
20191029	0	0.9
20191030	0	0.9
20191031	0	1
20191101	3.9	0.2
20191102	5.9	0.6
20191103	3.1	0.6
20191104	0.8	0.6
20191105	2.3	0.3
20191106	0.6	0.5
20191107	1.7	0.3
20191108	0	0.8
20191109	0.2	0.3
20191110	0	0.7
20191111	0.9	0.4
20191112	1.3	0.2
20191113	1	0.4
20191114	0	0.4
20191115	0	0.2
20191116	0	0.4
20191117	8	0.3
20191118	28.8	0.1
20191119	1.2	0.3
20191120	0	0.1
20191121	0	0.3
20191122	0.3	0.5
20191123	0	0.5
20191124	0	0.5
20191125	0	0.2
20191126	0.5	0.2
20191127	4.5	0.3
20191128	14	0.2
20191129	0	0.4
20191130	0	0.4
20191201	0	0.2
20191202	0.3	0.4
20191203	0.8	0.4
20191204	0	0.4
20191205	0	0.1
20191206	9.1	0.1
20191207	1.7	0.1
20191208	4.1	0.1
20191209	1.7	0.2
20191210	0	0.4
20191211	3.8	0.1
20191212	0.1	0.2
20191213	3.6	0.1
20191214	8.7	0.3
20191215	1.8	0.4
20191216	0.4	0.1
20191217	4.2	0.3
20191218	0	0.2
20191219	0	0.5
20191220	1	0.2
20191221	0.1	0.3
20191222	5	0.2
20191223	1.9	0.2
20191224	7.3	0.1
20191225	1.8	0.2
20191226	0.1	0.2
20191227	0	0.4
20191228	0	0.3
20191229	0	0.2
20191230	0	0.4
20191231	0.2	0.2
20200101	0	0.2
20200102	0	0.1
20200103	4.4	0.1
20200104	0.8	0.1
20200105	0.1	0.1
20200106	0	0.2
20200107	0.9	0.2
20200108	2.7	0.1
20200109	3.3	0.1
20200110	0.6	0.2
20200111	0	0.3
20200112	1.4	0.1
20200113	0.1	0.3
20200114	4.2	0.1
20200115	2	0.3
20200116	0	0.6
20200117	0.7	0.2
20200118	0.4	0.3
20200119	0.5	0.4
20200120	0	0.3
20200121	0	0.5
20200122	0.3	0.1
20200123	0	0.3
20200124	0	0.1
20200125	0	0.1
20200126	0	0.4
20200127	5.9	0.2
20200128	4.3	0.3
20200129	1	0.5
20200130	1	0.4
20200131	0.1	0.3
20200201	0.3	0.3
20200202	8.5	0.2
20200203	1.8	0.4
20200204	2.4	0.5
20200205	0	0.7
20200206	0	0.3
20200207	0	0.8
20200208	0.3	0.5
20200209	19.9	0.4
20200210	6.5	0.5
20200211	0.3	0.4
20200212	0.2	0.6
20200213	8.7	0.2
20200214	0	0.4
20200215	0	0.8
20200216	9.8	0.3
20200217	3.4	0.9
20200218	3.7	0.8
20200219	3.3	0.7
20200220	5.2	0.5
20200221	0	0.7
20200222	8.9	0.2
20200223	20.8	0.2
20200224	7.4	0.2
20200225	0.9	0.9
20200226	3.7	0.7
20200227	4.9	0.3
20200228	7.3	0.8
20200229	1.9	0.9
20200301	0	0.7
20200302	4.9	0.5
20200303	0	1.2
20200304	0.4	0.9
20200305	6.5	0.6
20200306	5.9	0.3
20200307	0	1.2
20200308	2.5	0.5
20200309	2.9	0.9
20200310	13.5	0.3
20200311	3.2	1.3
20200312	10.6	1.6
20200313	3.8	0.7
20200314	0	1.7
20200315	0	1.2
20200316	0	1.9
20200317	0	2
20200318	0	1.8
20200319	0	0.7
20200320	0.1	0.4
20200321	0	1.8
20200322	0	2.2
20200323	0	2.2
20200324	0	2.3
20200325	0	2.4
20200326	0	2.3
20200327	0	2.4
20200328	0	2.4
20200329	0	0.8
20200330	5.8	1.1
20200331	0	2.3
20200401	0	1.5
20200402	0.1	1.3
20200403	0	1
20200404	0	2.7
20200405	0	3.3
20200406	0	3.4
20200407	0	3.2
20200408	0	3
20200409	0	3.2
20200410	0	2.9
20200411	0	3.2
20200412	0	3.1
20200413	0	2.2
20200414	0	1.5
20200415	0	3.1
20200416	0	3.2
20200417	0	3.3
20200418	0.6	2.7
20200419	0	3.6
20200420	0	3.7
20200421	0	3.8
20200422	0	3.9
20200423	0	3.8
20200424	0	3.6
20200425	0	2.9
20200426	0	3.4
20200427	0	3.7
20200428	4.1	1.4
20200429	1.9	1.6
20200430	2.3	2.5
20200501	4.7	1.7
20200502	4.4	1.5
20200503	13.7	1.8
20200504	1	3.3
20200505	0	3.6
20200506	0	3.9
20200507	0	3.9
20200508	0	3.9
20200509	0	4.5
20200510	0.2	2.3
20200511	0.6	3.2
20200512	0	1.9
20200513	0	1.9
20200514	0	3.3
20200515	0	2.3
20200516	0	2.7
20200517	0	2.9
20200518	0	3.9
20200519	0	2.7
20200520	0	2.2
20200521	0	4.9
20200522	0.2	1.8
20200523	0	2.9
20200524	1.6	1.7
20200525	0	2.6
20200526	0	4.6
20200527	0	4.2
20200528	0	4.8
20200529	0	4.8
20200530	0	4.8
20200531	0	4.6
20200601	0	5
20200602	0	5.2
20200603	0	4.2
20200604	10.8	0.7
20200605	11.5	1.9
20200606	0	3.1
20200607	4.1	2.4
20200608	0	2.7
20200609	0	2.4
20200610	0	1.3
20200611	2.1	2.7
20200612	0	5.1
20200613	0	5.2
20200614	24.4	1.7
20200615	0.1	3.2
20200616	0.1	1.6
20200617	2.8	2.9
20200618	4.2	2.2
20200619	0	4.5
20200620	0	3.4
20200621	0	4.2
20200622	0.2	4.1
20200623	0	5.3
20200624	0	5.6
20200625	0	5.2
20200626	0	5.7
20200627	0	4.2
20200628	1.9	2.7
20200629	0	3.3
20200630	5.9	1.6
20200701	11.7	1.8
20200702	2.4	3
20200703	0	2.9
20200704	2.4	1.4
20200705	2.5	2.1
20200706	2.3	3.3
20200707	2.2	2.4
20200708	7.2	0.9
20200709	8.9	0.9
